,Count,Mean,Std. Deviat,min,25%,50%,75%,max
fixed acidity,1143,8.311111,1.747595,4.6,7.1,7.9,9.1,15.9
volatile acidity,1143,0.531339,0.179633,0.12,0.3925,0.52,0.64,1.58
citric acid,1143,0.268364,0.196686,0,0.09,0.25,0.42,1
residual sugar,1143,2.532152,1.355917,0.9,1.9,2.2,2.6,15.5
chlorides,1143,0.086933,0.047267,0.012,0.07,0.079,0.09,0.611
free sulfur dioxide,1143,15.615486,10.250486,1,7,13,21,68
total sulfur dioxide,1143,45.914698,32.78213,6,21,37,61,289
density,1143,0.99673,0.001925,0.99007,0.99557,0.99668,0.997845,1.00369
pH,1143,3.311015,0.156664,2.74,3.205,3.31,3.4,4.01
sulphates,1143,0.657708,0.170399,0.33,0.55,0.62,0.73,2
alcohol,1143,10.442111,1.082196,8.4,9.5,10.2,11.1,14.9
quality,1143,5.657043,0.805824,3,5,6,6,8
Id,1143,804.969379,463.997116,0,411,794,1209.5,1597
